year,age,industry,job_title,annual_salary,currency,country,state,total_experience_years,field_experience_years,education_level,gender
2021,25-34,education,Other,55000.0,USD,United States,Massachusetts,5-7 years,5-7 years,Master's degree,Woman
2021,25-34,computing or tech,Other,80868.0,USD,United Kingdom,,8 - 10 years,5-7 years,College degree,Non-binary
2021,25-34,nonprofits,program manager,65000.0,USD,United States,Wisconsin,8 - 10 years,5-7 years,College degree,Woman
2021,25-34,"accounting, banking & finance",accounting manager,67000.0,USD,United States,South Carolina,8 - 10 years,5-7 years,College degree,Woman
2021,25-34,education,Other,62000.0,USD,United States,New Hampshire,8 - 10 years,2 - 4 years,Master's degree,Man
2021,25-34,education,librarian,50000.0,USD,United States,Arizona,5-7 years,5-7 years,Master's degree,Man
2021,45-54,computing or tech,Other,122000.0,USD,United States,Missouri,21 - 30 years,21 - 30 years,College degree,Woman
2021,35-44,"accounting, banking & finance",senior accountant,45000.0,USD,United States,Florida,21 - 30 years,21 - 30 years,College degree,Woman
2021,25-34,nonprofits,office manager,47500.0,USD,United States,,5-7 years,5-7 years,College degree,Woman
2021,35-44,education,Other,62000.0,USD,United States,Pennsylvania,11 - 20 years,5-7 years,PhD,Woman
2021,35-44,"accounting, banking & finance",Other,100000.0,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Man
2021,25-34,law,Other,52000.0,USD,United States,Minnesota,2 - 4 years,2 - 4 years,None,Woman
2021,35-44,business or consulting,executive assistant,90000.0,USD,United States,Illinois,8 - 10 years,8 - 10 years,Some college,Woman
2021,45-54,art & design,graphic designer,59000.0,USD,United States,California,21 - 30 years,21 - 30 years,College degree,Woman
2021,35-44,business or consulting,senior manager,99000.0,USD,United States,Georgia,11 - 20 years,2 - 4 years,Master's degree,Woman
2021,35-44,education,Other,54000.0,USD,United States,Florida,11 - 20 years,11 - 20 years,Master's degree,Woman
2021,25-34,healthcare,Other,74000.0,USD,United States,Pennsylvania,5-7 years,5-7 years,Master's degree,Woman
2021,35-44,nonprofits,Other,50000.0,USD,United States,,5-7 years,2 - 4 years,PhD,Woman
2021,35-44,nonprofits,Other,47250.0,USD,Canada,,11 - 20 years,8 - 10 years,Master's degree,Woman
2021,35-44,government or public administration,Other,97000.0,USD,United States,Ohio,8 - 10 years,2 - 4 years,PhD,Woman
2021,25-34,library,Other,44500.0,USD,United States,Florida,5-7 years,2 - 4 years,None,Woman
2021,35-44,education,Other,60000.0,USD,United States,Michigan,11 - 20 years,1 year or less,Master's degree,Woman
2021,25-34,nonprofits,program director,62000.0,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Man
2021,35-44,law,Other,52000.0,USD,United States,Maryland,11 - 20 years,2 - 4 years,College degree,Woman
2021,35-44,government or public administration,Other,140000.0,USD,United States,District of Columbia,11 - 20 years,11 - 20 years,Master's degree,Woman
2021,25-34,engineering or manufacturing,Other,80000.0,USD,United States,Texas,5-7 years,5-7 years,College degree,Woman
2021,35-44,media & digital,editor,125000.0,USD,United States,District of Columbia,11 - 20 years,8 - 10 years,Master's degree,Woman
2021,25-34,"accounting, banking & finance",Other,230000.0,USD,United States,Missouri,11 - 20 years,11 - 20 years,College degree,Woman
2021,35-44,"accounting, banking & finance",accounting manager,125000.0,USD,United States,Virginia,21 - 30 years,11 - 20 years,College degree,Woman
2021,25-34,nonprofits,Other,50000.0,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Woman
2021,35-44,education,Other,68000.0,USD,United States,North Carolina,5-7 years,2 - 4 years,Master's degree,Woman
2021,18-24,media & digital,Other,41100.0,USD,United States,Michigan,2 - 4 years,2 - 4 years,College degree,Woman
